Reservation ID,Guest Name,Room Number,Room Type,Check-in Date,Check-out Date,Total Cost
RES-001,Guest 1,101,Single,2025-06-24,2025-06-27,300
RES-002,Guest 2,108,Single,2025-06-09,2025-06-13,400
RES-003,Guest 3,105,Single,2025-06-10,2025-06-13,300
RES-004,Guest 4,306,Suite,2025-06-19,2025-06-22,900
RES-005,Guest 5,101,Single,2025-06-03,2025-06-06,300
RES-006,Guest 6,101,Single,2025-06-24,2025-06-29,500
RES-007,Guest 7,101,Single,2025-06-21,2025-06-23,200
RES-008,Guest 8,304,Suite,2025-06-25,2025-06-28,900
RES-009,Guest 9,204,Double,2025-06-05,2025-06-08,450
RES-010,Guest 10,303,Suite,2025-06-27,2025-06-30,900
RES-011,Guest 11,303,Suite,2025-06-16,2025-06-21,1500
RES-012,Guest 12,203,Double,2025-06-03,2025-06-08,750
RES-013,Guest 13,202,Double,2025-06-25,2025-06-29,600
RES-014,Guest 14,105,Single,2025-06-08,2025-06-12,400
RES-015,Guest 15,309,Suite,2025-06-15,2025-06-20,1500
RES-016,Guest 16,207,Double,2025-06-30,2025-07-02,300
RES-017,Guest 17,306,Suite,2025-06-18,2025-06-21,900
RES-018,Guest 18,202,Double,2025-06-28,2025-06-30,300
RES-019,Guest 19,102,Single,2025-06-22,2025-06-24,200
RES-020,Guest 20,205,Double,2025-06-04,2025-06-08,600
RES-021,Guest 21,306,Suite,2025-06-07,2025-06-09,600
RES-022,Guest 22,106,Single,2025-06-22,2025-06-25,300
RES-023,Guest 23,101,Single,2025-06-21,2025-06-26,500
RES-024,Guest 24,109,Single,2025-06-19,2025-06-22,300
RES-025,Guest 25,108,Single,2025-06-30,2025-07-01,100
RES-026,Guest 26,101,Single,2025-06-23,2025-06-25,200
RES-027,Guest 27,304,Suite,2025-06-24,2025-06-27,900
RES-028,Guest 28,203,Double,2025-06-05,2025-06-06,150
RES-029,Guest 29,304,Suite,2025-06-18,2025-06-21,900
RES-030,Guest 30,102,Single,2025-06-21,2025-06-25,400
RES-031,Guest 31,306,Suite,2025-06-28,2025-07-01,900
RES-032,Guest 32,101,Single,2025-06-12,2025-06-15,300
RES-033,Guest 33,102,Single,2025-06-28,2025-06-29,100
RES-034,Guest 34,205,Double,2025-06-05,2025-06-07,300
RES-035,Guest 35,204,Double,2025-06-06,2025-06-08,300
RES-036,Guest 36,108,Single,2025-06-12,2025-06-16,400
RES-037,Guest 37,104,Single,2025-06-21,2025-06-26,500
RES-038,Guest 38,205,Double,2025-06-12,2025-06-16,600
RES-039,Guest 39,206,Double,2025-06-24,2025-06-27,450
RES-040,Guest 40,206,Double,2025-06-02,2025-06-04,300
RES-041,Guest 41,308,Suite,2025-06-08,2025-06-09,300
RES-042,Guest 42,202,Double,2025-06-26,2025-06-28,300
RES-043,Guest 43,310,Suite,2025-06-19,2025-06-20,300
RES-044,Guest 44,104,Single,2025-06-09,2025-06-10,100
RES-045,Guest 45,205,Double,2025-06-02,2025-06-07,750
RES-046,Guest 46,107,Single,2025-06-13,2025-06-15,200
RES-047,Guest 47,106,Single,2025-06-20,2025-06-22,200
RES-048,Guest 48,107,Single,2025-06-21,2025-06-26,500
RES-049,Guest 49,209,Double,2025-06-14,2025-06-19,750
RES-050,Guest 50,303,Suite,2025-06-01,2025-06-03,600
RES-051,Guest 51,202,Double,2025-06-14,2025-06-15,150
RES-052,Guest 52,101,Single,2025-06-21,2025-06-25,400
RES-053,Guest 53,205,Double,2025-06-24,2025-06-27,450
RES-054,Guest 54,303,Suite,2025-06-06,2025-06-07,300
RES-055,Guest 55,107,Single,2025-06-13,2025-06-14,100
RES-056,Guest 56,107,Single,2025-06-02,2025-06-06,400
RES-057,Guest 57,305,Suite,2025-06-23,2025-06-26,900
RES-058,Guest 58,110,Single,2025-07-01,2025-07-04,300
RES-059,Guest 59,102,Single,2025-06-21,2025-06-22,100
RES-060,Guest 60,101,Single,2025-06-03,2025-06-04,100
RES-061,Guest 61,201,Double,2025-06-16,2025-06-18,300
RES-062,Guest 62,303,Suite,2025-07-01,2025-07-02,300
RES-063,Guest 63,102,Single,2025-06-30,2025-07-05,500
RES-064,Guest 64,101,Single,2025-06-23,2025-06-25,200
RES-065,Guest 65,202,Double,2025-06-13,2025-06-15,300
RES-066,Guest 66,103,Single,2025-06-23,2025-06-26,300
RES-067,Guest 67,104,Single,2025-06-04,2025-06-09,500
RES-068,Guest 68,103,Single,2025-06-27,2025-07-01,400
RES-069,Guest 69,304,Suite,2025-06-16,2025-06-17,300
RES-070,Guest 70,201,Double,2025-06-23,2025-06-28,750
RES-071,Guest 71,204,Double,2025-06-25,2025-06-30,750
RES-072,Guest 72,203,Double,2025-06-14,2025-06-19,750
RES-073,Guest 73,205,Double,2025-06-29,2025-07-03,600
RES-074,Guest 74,203,Double,2025-06-14,2025-06-16,300
RES-075,Guest 75,308,Suite,2025-06-28,2025-06-29,300
RES-076,Guest 76,302,Suite,2025-06-22,2025-06-24,600
RES-077,Guest 77,202,Double,2025-06-15,2025-06-20,750
RES-078,Guest 78,206,Double,2025-06-24,2025-06-28,600
RES-079,Guest 79,304,Suite,2025-06-17,2025-06-22,1500
RES-080,Guest 80,309,Suite,2025-06-27,2025-06-30,900
RES-081,Guest 81,101,Single,2025-06-19,2025-06-23,400
